"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"35",4,"Drake Maye",NE,"QB3","11","2 out of 5 stars","+20"
"36",4,"Josh Jacobs",GB,"RB15","11","4 out of 5 stars","+2"
"37",4,"Breece Hall",NYJ,"RB16","13","3 out of 5 stars","-6"
"38",4,"Malik Nabers",NYG,"WR17","8","4 out of 5 stars","+1"
"39",4,"Garrett Wilson",NYJ,"WR18","13","4 out of 5 stars","+5"
"40",4,"Colston Loveland",CHI,"TE3","10","2 out of 5 stars","-6"
"41",4,"Ladd McConkey",LAC,"WR19","7","2 out of 5 stars","+1"
"42",4,"Javonte Williams",DAL,"RB17","14","4 out of 5 stars","-10"
"43",4,"Emeka Egbuka",TB,"WR20","10","4 out of 5 stars","-8"
"44",4,"Jaylen Waddle",DEN,"WR21","10","2 out of 5 stars","+7"
"45",4,"Travis Etienne Jr.",NO,"RB18","8","3 out of 5 stars","-12"
"46",4,"Joe Burrow",CIN,"QB4","6","3 out of 5 stars","+3"
"47",4,"Terry McLaurin",WAS,"WR22","7","2 out of 5 stars","+5"
"48",5,"Luther Burden III",CHI,"WR23","10","3 out of 5 stars","-2"
"49",5,"Davante Adams",LAR,"WR24","11","1 out of 5 stars","+8"
"50",5,"Jameson Williams",DET,"WR25","6","4 out of 5 stars","+9"
"51",5,"Cam Skattebo",NYG,"RB19","8","4 out of 5 stars","-11"
"52",5,"Bucky Irving",TB,"RB20","10","2 out of 5 stars","+4"
"53",5,"D'Andre Swift",CHI,"RB21","10","2 out of 5 stars","0"
"54",5,"Quinshon Judkins",CLE,"RB22","11","3 out of 5 stars","-6"
"55",5,"Mike Evans",SF,"WR26","8","2 out of 5 stars","+3"
"56",5,"Tyler Warren",IND,"TE4","13","3 out of 5 stars","-6"
"57",5,"TreVeyon Henderson",NE,"RB23","11","2 out of 5 stars","-3"
"58",5,"Christian Watson",GB,"WR27","11","5 out of 5 stars","+5"
"59",5,"Jayden Daniels",WAS,"QB5","7","2 out of 5 stars","+2"
"60",5,"Jalen Hurts",PHI,"QB6","10","5 out of 5 stars","+6"
"61",5,"David Montgomery",HOU,"RB24","8","4 out of 5 stars","-14"
"62",5,"DJ Moore",BUF,"WR28","7","4 out of 5 stars","-17"
"63",5,"Rome Odunze",CHI,"WR29","10","3 out of 5 stars","+1"
"64",5,"Bhayshul Tuten",JAC,"RB25","7","4 out of 5 stars","-4"
"65",5,"Tucker Kraft",GB,"TE5","11","2 out of 5 stars","+3"
"66",5,"Caleb Williams",CHI,"QB7","10","3 out of 5 stars","-1"
"67",5,"Jadarian Price",SEA,"RB26","11","4 out of 5 stars","-5"
"68",5,"Carnell Tate",TEN,"WR30","9","3 out of 5 stars","+1"
"69",6,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","+13"
"70",6,"Jaylen Warren",PIT,"RB27","9","2 out of 5 stars","+2"
"71",6,"Marvin Harrison Jr.",ARI,"WR31","14","2 out of 5 stars","+2"
"72",6,"Alec Pierce",IND,"WR32","13","4 out of 5 stars","+13"
"73",6,"Trevor Lawrence",JAC,"QB9","7","4 out of 5 stars","+6"
"74",6,"DK Metcalf",PIT,"WR33","9","3 out of 5 stars","+12"
"75",6,"Rhamondre Stevenson",NE,"RB28","11","2 out of 5 stars","+2"
"76",6,"Chuba Hubbard",CAR,"RB29","5","1 out of 5 stars","-1"
"77",6,"Tony Pollard",TEN,"RB30","9","3 out of 5 stars","-6"
"78",6,"Harold Fannin Jr.",CLE,"TE6","11","3 out of 5 stars","-2"
"79",6,"Brian Thomas Jr.",JAC,"WR34","7","4 out of 5 stars","-12"
"80",6,"Courtland Sutton",DEN,"WR35","10","2 out of 5 stars","+7"
"81",6,"Rico Dowdle",PIT,"RB31","9","2 out of 5 stars","+3"
"82",6,"Dak Prescott",DAL,"QB10","14","2 out of 5 stars","-12"
"83",6,"Kyle Pitts Sr.",ATL,"TE7","11","3 out of 5 stars","-9"
"84",6,"Sam LaPorta",DET,"TE8","6","3 out of 5 stars","-3"
"85",6,"Jaxson Dart",NYG,"QB11","8","4 out of 5 stars","+7"
"86",6,"Chris Godwin Jr.",TB,"WR36","10","4 out of 5 stars","+7"
"87",6,"Jordyn Tyson",NO,"WR37","8","3 out of 5 stars","-7"
"88",6,"RJ Harvey",DEN,"RB32","10","2 out of 5 stars","-5"
"89",6,"Parker Washington",JAC,"WR38","7","4 out of 5 stars","-11"
"90",6,"Kyle Monangai",CHI,"RB33","10","2 out of 5 stars","0"
"91",6,"Brock Purdy",SF,"QB12","8","1 out of 5 stars","+6"
"92",6,"Michael Wilson",ARI,"WR39","14","2 out of 5 stars","-3"
"93",6,"Makai Lemon",PHI,"WR40","10","4 out of 5 stars","+2"
"94",6,"Blake Corum",LAR,"RB34","11","5 out of 5 stars","+5"
"95",6,"Michael Pittman Jr.",PIT,"WR41","9","3 out of 5 stars","+9"
"96",7,"J.K. Dobbins",DEN,"RB35","10","2 out of 5 stars","+2"
"97",7,"Patrick Mahomes II",KC,"QB13","5","2 out of 5 stars","-3"
"98",7,"Jakobi Meyers",JAC,"WR42","7","4 out of 5 stars","+15"
"99",7,"Bo Nix",DEN,"QB14","10","3 out of 5 stars","+4"
"100",7,"Quentin Johnston",LAC,"WR43","7","2 out of 5 stars","-9"
"101",7,"Kenny Gainwell",TB,"RB36","10","2 out of 5 stars","+4"
"102",7,"Travis Kelce",KC,"TE9","5","4 out of 5 stars","+6"
"103",7,"Matthew Stafford",LAR,"QB15","11","3 out of 5 stars","-15"
"104",7,"Jordan Addison",MIN,"WR44","6","5 out of 5 stars","+3"
"105",7,"Ricky Pearsall",SF,"WR45","8","2 out of 5 stars","+6"
"106",7,"Wan'Dale Robinson",TEN,"WR46","9","3 out of 5 stars","+3"
"107",7,"Aaron Jones Sr.",MIN,"RB37","6","4 out of 5 stars","+17"
"108",7,"Rachaad White",WAS,"RB38","7","4 out of 5 stars","+4"
"109",7,"Jared Goff",DET,"QB16","6","5 out of 5 stars","-9"
"110",7,"Dalton Kincaid",BUF,"TE10","7","3 out of 5 stars","+4"
"111",7,"Jayden Reed",GB,"WR47","11","5 out of 5 stars","-5"
"112",7,"George Kittle",SF,"TE11","8","3 out of 5 stars","-16"
"113",7,"Josh Downs",IND,"WR48","13","4 out of 5 stars","-3"
"114",7,"Kyler Murray",MIN,"QB17","6","5 out of 5 stars","+2"
"115",7,"Jacory Croskey-Merritt",WAS,"RB39","7","4 out of 5 stars","+10"
"116",7,"Jake Ferguson",DAL,"TE12","14","2 out of 5 stars","+3"
"117",7,"Isaiah Likely",NYG,"TE13","8","3 out of 5 stars","-16"
"118",7,"Jordan Mason",MIN,"RB40","6","4 out of 5 stars","0"
"119",7,"Dallas Goedert",PHI,"TE14","10","4 out of 5 stars","-2"
"120",7,"Xavier Worthy",KC,"WR49","5","2 out of 5 stars","-5"
"121",7,"Jordan Love",GB,"QB18","11","4 out of 5 stars","-1"
"122",7,"Baker Mayfield",TB,"QB19","10","2 out of 5 stars","-1"
"123",7,"Jayden Higgins",HOU,"WR50","8","3 out of 5 stars","+10"
"124",7,"Tyrone Tracy Jr.",NYG,"RB41","8","4 out of 5 stars","+7"
"125",7,"Tyler Shough",NO,"QB20","8","3 out of 5 stars","-2"
"126",7,"Khalil Shakir",BUF,"WR51","7","4 out of 5 stars","+3"
"127",7,"Mark Andrews",BAL,"TE15","13","4 out of 5 stars","-5"
"128",7,"Chris Rodriguez Jr.",JAC,"RB42","7","4 out of 5 stars","+8"
"129",7,"Romeo Doubs",NE,"WR52","11","2 out of 5 stars","-2"
"130",8,"KC Concepcion",CLE,"WR53","11","3 out of 5 stars","-2"
"131",8,"Zach Charbonnet",SEA,"RB43","11","4 out of 5 stars","+11"
"132",8,"Malik Willis",MIA,"QB21","6","3 out of 5 stars","-2"
"133",8,"Jonathon Brooks",CAR,"RB44","5","1 out of 5 stars","-31"
"134",8,"Tyler Allgeier",ARI,"RB45","14","2 out of 5 stars","+21"
"135",8,"Jalen Coker",CAR,"WR54","5","2 out of 5 stars","+2"
"136",8,"Matthew Golden",GB,"WR55","11","5 out of 5 stars","-10"
"137",8,"Isiah Pacheco",DET,"RB46","6","5 out of 5 stars","+10"
"138",8,"Woody Marks",HOU,"RB47","8","4 out of 5 stars","0"
"139",8,"Juwan Johnson",NO,"TE16","8","2 out of 5 stars","+1"
"140",8,"Tyjae Spears",TEN,"RB48","9","3 out of 5 stars","+10"
"141",8,"Dylan Sampson",CLE,"RB49","11","3 out of 5 stars","+22"
"142",8,"C.J. Stroud",HOU,"QB22","8","4 out of 5 stars","-1"
"143",8,"Brenton Strange",JAC,"TE17","7","3 out of 5 stars","-4"
"144",8,"Hunter Henry",NE,"TE18","11","4 out of 5 stars","+2"
"145",8,"Rashid Shaheed",SEA,"WR56","11","3 out of 5 stars","-13"
"146",8,"Oronde Gadsden II",LAC,"TE19","7","4 out of 5 stars","-3"
"147",8,"Keaton Mitchell",LAC,"RB50","7","3 out of 5 stars","+1"
"148",8,"Alvin Kamara",NO,"RB51","8","3 out of 5 stars","+13"
"149",8,"Sam Darnold",SEA,"QB23","11","4 out of 5 stars","-15"
"150",8,"Cam Ward",TEN,"QB24","9","3 out of 5 stars","-6"
"151",8,"Brian Robinson Jr.",ATL,"RB52","11","2 out of 5 stars","+11"
"152",8,"Omar Cooper Jr.",NYJ,"WR57","13","4 out of 5 stars","+6"
"153",8,"Chig Okonkwo",WAS,"TE20","7","1 out of 5 stars","-18"
"154",8,"Jerry Jeudy",CLE,"WR58","11","3 out of 5 stars","+18"
"155",8,"Tank Bigsby",PHI,"RB53","10","4 out of 5 stars","+11"
"156",8,"Jauan Jennings",MIN,"WR59","6","5 out of 5 stars","+3"
"157",8,"Daniel Jones",IND,"QB25","13","4 out of 5 stars","-8"
"158",8,"Jonah Coleman",DEN,"RB54","10","2 out of 5 stars","-2"
"159",8,"Jalen McMillan",TB,"WR60","10","4 out of 5 stars","-6"
"160",8,"Denzel Boston",CLE,"WR61","11","3 out of 5 stars","0"
"161",8,"Travis Hunter",JAC,"WR62","7","4 out of 5 stars","+44"
"162",8,"Adonai Mitchell",NYJ,"WR63","13","4 out of 5 stars","+19"
"163",8,"Dalton Schultz",HOU,"TE21","8","4 out of 5 stars","+2"
"164",8,"Bryce Young",CAR,"QB26","5","2 out of 5 stars","-7"
"165",8,"Braelon Allen",NYJ,"RB55","13","3 out of 5 stars","+26"
"166",9,"Kayshon Boutte",NE,"WR64","11","2 out of 5 stars","+34"
"167",9,"Tre Tucker",LV,"WR65","13","2 out of 5 stars","+1"
"168",9,"Kenyon Sadiq",NYJ,"TE22","13","4 out of 5 stars","-16"
"169",9,"Ryan Flournoy",DAL,"WR66","14","2 out of 5 stars","+15"
"170",9,"Emanuel Wilson",SEA,"RB56","11","4 out of 5 stars","+46"
"171",9,"Tre' Harris",LAC,"WR67","7","2 out of 5 stars","+18"
"172",9,"T.J. Hockenson",MIN,"TE23","6","4 out of 5 stars","-18"
"173",9,"Troy Franklin",DEN,"WR68","10","2 out of 5 stars","+48"
"174",9,"AJ Barner",SEA,"TE24","11","3 out of 5 stars","+2"
"175",9,"Kimani Vidal",LAC,"RB57","7","3 out of 5 stars","+34"
"176",9,"Calvin Ridley",TEN,"WR69","9","3 out of 5 stars","-1"
"177",9,"Isaac TeSlaa",DET,"WR70","6","4 out of 5 stars","+2"
"178",9,"James Conner",ARI,"RB58","14","2 out of 5 stars","+48"
"179",9,"Ray Davis",BUF,"RB59","7","2 out of 5 stars","+19"
"180",9,"Jaylin Noel",HOU,"WR71","8","3 out of 5 stars","+59"
"181",9,"Houston Texans",HOU,"DST1","8","2 out of 5 stars","-"
"182",9,"Stefon Diggs",FA,"WR72","-","-","-37"
"183",9,"Gunnar Helm",TEN,"TE25","9","3 out of 5 stars","-6"
"184",9,"Pat Bryant",DEN,"WR73","10","2 out of 5 stars","+47"
"185",9,"Darnell Mooney",NYG,"WR74","8","4 out of 5 stars","+28"
"186",9,"Emmett Johnson",KC,"RB60","5","3 out of 5 stars","-1"
"187",9,"De'Zhaun Stribling",SF,"WR75","8","2 out of 5 stars","+6"
"188",9,"Jalen Nailor",LV,"WR76","13","2 out of 5 stars","-37"
"189",9,"Sean Tucker",TB,"RB61","10","2 out of 5 stars","-6"
"190",9,"Mike Washington Jr.",LV,"RB62","13","2 out of 5 stars","-3"
"191",9,"Jacoby Brissett",ARI,"QB27","14","2 out of 5 stars","-24"
"192",9,"Denver Broncos",DEN,"DST2","10","4 out of 5 stars","-"
"193",9,"Malik Washington",MIA,"WR77","6","3 out of 5 stars","-15"
"194",9,"Seattle Seahawks",SEA,"DST3","11","2 out of 5 stars","-"
"195",9,"Deebo Samuel Sr.",FA,"WR78","-","-","-24"
"196",9,"Pat Freiermuth",PIT,"TE26","9","2 out of 5 stars","-4"
"197",9,"Los Angeles Rams",LAR,"DST4","11","2 out of 5 stars","-"
"198",9,"David Njoku",LAC,"TE27","7","4 out of 5 stars","-16"
"199",9,"Terrance Ferguson",LAR,"TE28","11","4 out of 5 stars","-2"
"200",9,"Philadelphia Eagles",PHI,"DST5","10","0 out of 5 stars","-"
"201",9,"Nicholas Singleton",TEN,"RB63","9","3 out of 5 stars","-13"
"202",9,"Pittsburgh Steelers",PIT,"DST6","9","5 out of 5 stars","-"
"203",9,"Jacksonville Jaguars",JAC,"DST7","7","3 out of 5 stars","-"
"204",9,"Ted Hurst III",TB,"WR79","10","4 out of 5 stars","+24"
"205",9,"Ka'imi Fairbairn",HOU,"K1","8","2 out of 5 stars","-"
"206",9,"Chimere Dike",TEN,"WR80","9","3 out of 5 stars","+39"
"207",9,"Cade Otton",TB,"TE29","10","2 out of 5 stars","-27"
"208",9,"Cameron Dicker",LAC,"K2","7","2 out of 5 stars","-"
"209",9,"Brandon Aubrey",DAL,"K3","14","2 out of 5 stars","-"
"210",9,"Minnesota Vikings",MIN,"DST8","6","1 out of 5 stars","-"
"211",9,"New England Patriots",NE,"DST9","11","3 out of 5 stars","-"
"212",9,"Dontayvion Wicks",PHI,"WR81","10","4 out of 5 stars","-1"
"213",9,"Cam Little",JAC,"K4","7","4 out of 5 stars","-"
"214",10,"Tank Dell",HOU,"WR82","8","3 out of 5 stars","-20"
"215",10,"Jason Myers",SEA,"K5","11","4 out of 5 stars","-"
"216",10,"Antonio Williams",WAS,"WR83","7","2 out of 5 stars","-42"
"217",10,"Los Angeles Chargers",LAC,"DST10","7","3 out of 5 stars","-"
"218",10,"Geno Smith",NYJ,"QB28","13","4 out of 5 stars","-45"
"219",10,"Rashod Bateman",BAL,"WR84","13","4 out of 5 stars","+17"
"220",10,"Jaylen Wright",MIA,"RB64","6","3 out of 5 stars","+10"
"221",10,"Colby Parkinson",LAR,"TE30","11","4 out of 5 stars","+2"
"222",10,"Aaron Rodgers",PIT,"QB29","9","2 out of 5 stars","-58"
"223",10,"Eddy Pineiro",SF,"K6","8","5 out of 5 stars","-"
"224",10,"Germie Bernard",PIT,"WR85","9","3 out of 5 stars","-21"
"225",10,"Tyler Loop",BAL,"K7","13","3 out of 5 stars","-"
"226",10,"Ollie Gordon II",MIA,"RB65","6","3 out of 5 stars","+38"
"227",10,"Zachariah Branch",ATL,"WR86","11","3 out of 5 stars","-41"
"228",10,"Cooper Kupp",SEA,"WR87","11","3 out of 5 stars","-16"
"229",10,"Kansas City Chiefs",KC,"DST11","5","3 out of 5 stars","-"
"230",10,"Baltimore Ravens",BAL,"DST12","13","5 out of 5 stars","-"
"231",10,"Kaytron Allen",WAS,"RB66","7","4 out of 5 stars","-32"
"232",10,"MarShawn Lloyd",GB,"RB67","11","4 out of 5 stars","-30"
"233",10,"Cairo Santos",CHI,"K8","10","0 out of 5 stars","-"
"234",10,"Jake Bates",DET,"K9","6","5 out of 5 stars","-"
"235",10,"Justice Hill",BAL,"RB68","13","3 out of 5 stars","-27"
"236",10,"Seth McGowan",IND,"RB69","13","4 out of 5 stars","+97"
"237",10,"Evan McPherson",CIN,"K10","6","2 out of 5 stars","-"
"238",10,"Brandon Aiyuk",SF,"WR88","8","2 out of 5 stars","-42"
"239",10,"Elic Ayomanor",TEN,"WR89","9","3 out of 5 stars","+48"
"240",10,"Green Bay Packers",GB,"DST13","11","2 out of 5 stars","-"
"241",10,"Andy Borregales",NE,"K11","11","1 out of 5 stars","-"
"242",10,"Eli Stowers",PHI,"TE31","10","4 out of 5 stars","-41"
"243",10,"Detroit Lions",DET,"DST14","6","5 out of 5 stars","-"
"244",10,"Fernando Mendoza",LV,"QB30","13","1 out of 5 stars","-74"
"245",10,"Buffalo Bills",BUF,"DST15","7","3 out of 5 stars","-"
"246",10,"Jack Bech",LV,"WR90","13","2 out of 5 stars","+7"
"247",10,"Keon Coleman",BUF,"WR91","7","4 out of 5 stars","-20"
"248",10,"Cleveland Browns",CLE,"DST16","11","5 out of 5 stars","-"
"249",10,"Malik Davis",DAL,"RB70","14","4 out of 5 stars","+33"
"250",10,"Elijah Sarratt",BAL,"WR92","13","4 out of 5 stars","-12"
"251",10,"Chase McLaughlin",TB,"K12","10","3 out of 5 stars","-"
"252",10,"Christian Kirk",SF,"WR93","8","2 out of 5 stars","-42"
"253",10,"Tory Horton",SEA,"WR94","11","3 out of 5 stars","-9"
"254",10,"Oscar Delp",NO,"TE32","8","2 out of 5 stars","+35"
"255",10,"Harrison Mevis",LAR,"K13","11","2 out of 5 stars","-"
"256",10,"Evan Engram",DEN,"TE33","10","4 out of 5 stars","-34"
"257",10,"Ty Johnson",BUF,"RB71","7","2 out of 5 stars","-22"
"258",10,"Harrison Butker",KC,"K14","5","5 out of 5 stars","-"
"259",10,"Chris Brooks",GB,"RB72","11","4 out of 5 stars","-5"
"260",10,"Jordan James",SF,"RB73","8","2 out of 5 stars","-53"
"261",10,"Chris Boswell",PIT,"K15","9","4 out of 5 stars","-"
"262",10,"Chris Bell",MIA,"WR95","6","3 out of 5 stars","-38"
"263",10,"Tua Tagovailoa",ATL,"QB31","11","4 out of 5 stars","-68"
"264",10,"Malachi Fields",NYG,"WR96","8","4 out of 5 stars","-58"
"265",10,"DJ Giddens",IND,"RB74","13","4 out of 5 stars","-36"
"266",10,"Samaje Perine",CIN,"RB75","6","2 out of 5 stars","-25"
"267",10,"Jaydon Blue",DAL,"RB76","14","4 out of 5 stars","-63"
"268",10,"Devin Neal",NO,"RB77","8","3 out of 5 stars","+17"
"269",10,"Tyreek Hill",FA,"WR97","-","-","-79"
"270",10,"Tyquan Thornton",KC,"WR98","5","2 out of 5 stars","-37"
"271",10,"Kaleb Johnson",PIT,"RB78","9","2 out of 5 stars","-1"
"272",10,"Michael Penix Jr.",ATL,"QB32","11","4 out of 5 stars","-53"
"273",10,"Demond Claiborne",MIN,"RB79","6","4 out of 5 stars","-58"
"274",10,"George Holani",SEA,"RB80","11","4 out of 5 stars","-60"
"275",11,"Chris Brazzell II",CAR,"WR99","5","2 out of 5 stars","-35"
"276",11,"Mason Taylor",NYJ,"TE34","13","4 out of 5 stars","-19"
"277",11,"Trey Benson",ARI,"RB81","14","2 out of 5 stars","+47"
"278",11,"Wil Lutz",DEN,"K16","10","1 out of 5 stars","-"
"279",11,"Marvin Mims Jr.",DEN,"WR100","10","2 out of 5 stars","+24"
"280",11,"Theo Johnson",NYG,"TE35","8","3 out of 5 stars","-33"
"281",11,"Devaughn Vele",NO,"WR101","8","3 out of 5 stars","-47"
"282",11,"Isaiah Davis",NYJ,"RB82","13","3 out of 5 stars","+41"
"283",11,"Darius Slayton",NYG,"WR102","8","4 out of 5 stars","-18"
"284",11,"LeQuint Allen Jr.",JAC,"RB83","7","4 out of 5 stars","-24"
"285",11,"Shedeur Sanders",CLE,"QB33","11","4 out of 5 stars","-68"
"286",11,"Kirk Cousins",LV,"QB34","13","1 out of 5 stars","-54"
"287",11,"Xavier Legette",CAR,"WR103","5","2 out of 5 stars","+6"
"288",11,"Atlanta Falcons",ATL,"DST17","11","4 out of 5 stars","-"
"289",11,"Will Reichard",MIN,"K17","6","2 out of 5 stars","-"
"290",11,"Devin Singletary",NYG,"RB84","8","4 out of 5 stars","-31"
"291",11,"Emari Demercado",KC,"RB85","5","3 out of 5 stars","-30"
"292",11,"Brashard Smith",KC,"RB86","5","3 out of 5 stars","+87"
"293",11,"Greg Dulcich",MIA,"TE36","6","5 out of 5 stars","-124"
"294",11,"Kendre Miller",NO,"RB87","8","3 out of 5 stars","-"
"295",11,"Mack Hollins",NE,"WR104","11","2 out of 5 stars","+11"
"296",11,"Keenan Allen",LAC,"WR105","7","2 out of 5 stars","-50"
"297",11,"Hollywood Brown",PHI,"WR106","10","4 out of 5 stars","-42"
"298",11,"Kyle Williams",NE,"WR107","11","2 out of 5 stars","0"
"299",11,"Kaelon Black",SF,"RB88","8","2 out of 5 stars","-62"
"300",11,"Mike Gesicki",CIN,"TE37","6","3 out of 5 stars","-80"
"301",11,"Jerome Ford",WAS,"RB89","7","4 out of 5 stars","-"
"302",11,"Deshaun Watson",CLE,"QB35","11","4 out of 5 stars","-84"
"303",11,"Najee Harris",LAC,"RB90","7","3 out of 5 stars","-20"
"304",11,"Adam Randall",BAL,"RB91","13","3 out of 5 stars","-42"
"305",11,"San Francisco 49ers",SF,"DST18","8","3 out of 5 stars","-"
"306",11,"Indianapolis Colts",IND,"DST19","13","5 out of 5 stars","-"
"307",11,"Charlie Smyth",NO,"K18","8","5 out of 5 stars","-"
"308",11,"Trevor Etienne",CAR,"RB92","5","1 out of 5 stars","-11"
"309",11,"Isaiah Bond",CLE,"WR108","11","3 out of 5 stars","-28"
"310",11,"Tahj Brooks",CIN,"RB93","6","2 out of 5 stars","-20"
"311",11,"Isaac Guerendo",SF,"RB94","8","2 out of 5 stars","-"
"312",11,"Skyler Bell",BUF,"WR109","7","4 out of 5 stars","-60"
"313",11,"Jaleel McLaughlin",DEN,"RB95","10","2 out of 5 stars","-"
"314",11,"Jake Tonges",SF,"TE38","8","3 out of 5 stars","-89"
"315",11,"Ja'Kobi Lane",BAL,"WR110","13","4 out of 5 stars","-66"
"316",11,"Joe Mixon",FA,"RB96","-","-","-60"
"317",11,"Jarquez Hunter",LAR,"RB97","11","5 out of 5 stars","+71"
"318",11,"Kareem Hunt",FA,"RB98","-","-","-51"
"319",11,"Andrei Iosivas",CIN,"WR111","6","4 out of 5 stars","-56"
"320",12,"New Orleans Saints",NO,"DST20","8","5 out of 5 stars","-"
"321",12,"Darnell Washington",PIT,"TE39","9","2 out of 5 stars","-78"
"322",12,"Audric Estime",NO,"RB99","8","3 out of 5 stars","-"
"323",12,"Cedric Tillman",CLE,"WR112","11","3 out of 5 stars","-"
"324",12,"Chicago Bears",CHI,"DST21","10","2 out of 5 stars","-"
"325",12,"J.J. McCarthy",MIN,"QB36","6","5 out of 5 stars","-51"
"326",12,"Will Shipley",PHI,"RB100","10","4 out of 5 stars","+8"
"327",12,"Jalen Royals",KC,"WR113","5","2 out of 5 stars","+4"
"328",12,"Jahan Dotson",ATL,"WR114","11","3 out of 5 stars","-70"
"329",12,"Calvin Austin III",NYG,"WR115","8","4 out of 5 stars","-25"
"330",12,"Tez Johnson",TB,"WR116","10","4 out of 5 stars","-36"
"331",12,"Konata Mumpfield",LAR,"WR117","11","1 out of 5 stars","-1"
"332",12,"Luke McCaffrey",WAS,"WR118","7","2 out of 5 stars","+10"
"333",12,"Max Klare",LAR,"TE40","11","4 out of 5 stars","+14"
"334",12,"Caleb Douglas",MIA,"WR119","6","3 out of 5 stars","-84"
"335",12,"Olamide Zaccheaus",ATL,"WR120","11","3 out of 5 stars","+10"
"336",12,"Jalen Tolbert",MIA,"WR121","6","3 out of 5 stars","-88"
"337",12,"Noah Gray",KC,"TE41","5","4 out of 5 stars","-8"
"338",12,"Mac Jones",SF,"QB37","8","1 out of 5 stars","-26"
"339",12,"Elijah Arroyo",SEA,"TE42","11","3 out of 5 stars","-67"
"340",12,"Bam Knight",ARI,"RB101","14","2 out of 5 stars","-"
"341",12,"Cole Kmet",CHI,"TE43","10","2 out of 5 stars","-49"
"342",12,"Eli Heidenreich",PIT,"RB102","9","2 out of 5 stars","+2"
"343",12,"Xavier Hutchinson",HOU,"WR122","8","3 out of 5 stars","+6"
"344",12,"Tyler Higbee",LAR,"TE44","11","4 out of 5 stars","+28"
"345",12,"Dont'e Thornton Jr.",LV,"WR123","13","2 out of 5 stars","+14"
"346",12,"Dawson Knox",BUF,"TE45","7","3 out of 5 stars","-71"
"347",12,"Joshua Palmer",BUF,"WR124","7","4 out of 5 stars","-40"
"348",12,"Michael Mayer",LV,"TE46","13","3 out of 5 stars","-97"
"349",12,"Brenen Thompson",LAC,"WR125","7","2 out of 5 stars","-83"
"350",12,"Ja'Tavion Sanders",CAR,"TE47","5","2 out of 5 stars","-74"
"351",12,"Carson Beck",ARI,"QB38","14","2 out of 5 stars","-80"
"352",12,"J'Mari Taylor",JAC,"RB103","7","4 out of 5 stars","-"
"353",12,"Nick Chubb",FA,"RB104","-","-","-"
