"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"28",4,"Tetairoa McMillan",CAR,"WR15","5","2 out of 5 stars","+11"
"29",4,"Kenneth Walker III",KC,"RB11","5","3 out of 5 stars","-13"
"30",4,"Lamar Jackson",BAL,"QB2","13","3 out of 5 stars","+21"
"31",4,"Tee Higgins",CIN,"WR16","6","4 out of 5 stars","+3"
"32",4,"Malik Nabers",NYG,"WR17","8","4 out of 5 stars","+8"
"33",4,"Zay Flowers",BAL,"WR18","13","4 out of 5 stars","-2"
"34",4,"Drake Maye",NE,"QB3","11","2 out of 5 stars","+28"
"35",4,"Jeremiyah Love",ARI,"RB12","14","2 out of 5 stars","-9"
"36",4,"Ladd McConkey",LAC,"WR19","7","2 out of 5 stars","0"
"37",5,"Colston Loveland",CHI,"TE3","10","2 out of 5 stars","+4"
"38",5,"Jaylen Waddle",DEN,"WR20","10","2 out of 5 stars","+6"
"39",5,"Derrick Henry",BAL,"RB13","13","3 out of 5 stars","-18"
"40",5,"Emeka Egbuka",TB,"WR21","10","4 out of 5 stars","-7"
"41",5,"Breece Hall",NYJ,"RB14","13","3 out of 5 stars","-11"
"42",5,"Joe Burrow",CIN,"QB4","6","3 out of 5 stars","+18"
"43",5,"Kyren Williams",LAR,"RB15","11","5 out of 5 stars","-11"
"44",5,"Terry McLaurin",WAS,"WR22","7","2 out of 5 stars","-1"
"45",5,"Josh Jacobs",GB,"RB16","11","4 out of 5 stars","-3"
"46",5,"Luther Burden III",CHI,"WR23","10","3 out of 5 stars","-1"
"47",5,"Travis Etienne Jr.",NO,"RB17","8","3 out of 5 stars","-9"
"48",5,"Javonte Williams",DAL,"RB18","14","4 out of 5 stars","-13"
"49",5,"Davante Adams",LAR,"WR24","11","1 out of 5 stars","-1"
"50",6,"Jameson Williams",DET,"WR25","6","4 out of 5 stars","0"
"51",6,"Mike Evans",SF,"WR26","8","2 out of 5 stars","+4"
"52",6,"DJ Moore",BUF,"WR27","7","4 out of 5 stars","0"
"53",6,"Tyler Warren",IND,"TE4","13","3 out of 5 stars","+8"
"54",6,"Jayden Daniels",WAS,"QB5","7","2 out of 5 stars","+11"
"55",6,"Cam Skattebo",NYG,"RB19","8","4 out of 5 stars","-9"
"56",6,"Christian Watson",GB,"WR28","11","5 out of 5 stars","-2"
"57",6,"Jalen Hurts",PHI,"QB6","10","5 out of 5 stars","+19"
"58",6,"Bucky Irving",TB,"RB20","10","2 out of 5 stars","0"
"59",6,"Rome Odunze",CHI,"WR29","10","3 out of 5 stars","0"
"60",6,"TreVeyon Henderson",NE,"RB21","11","2 out of 5 stars","-7"
"61",6,"Quinshon Judkins",CLE,"RB22","11","3 out of 5 stars","-5"
"62",6,"D'Andre Swift",CHI,"RB23","10","2 out of 5 stars","-13"
"63",6,"Carnell Tate",TEN,"WR30","9","3 out of 5 stars","0"
"64",6,"David Montgomery",HOU,"RB24","8","4 out of 5 stars","-17"
"65",6,"Caleb Williams",CHI,"QB7","10","3 out of 5 stars","+6"
"66",6,"Marvin Harrison Jr.",ARI,"WR31","14","2 out of 5 stars","+2"
"67",6,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","+7"
"68",6,"Tucker Kraft",GB,"TE5","11","2 out of 5 stars","+13"
"69",7,"Alec Pierce",IND,"WR32","13","4 out of 5 stars","+14"
"70",7,"Jaylen Warren",PIT,"RB25","9","2 out of 5 stars","-1"
"71",7,"Bhayshul Tuten",JAC,"RB26","7","4 out of 5 stars","-14"
"72",7,"Harold Fannin Jr.",CLE,"TE6","11","3 out of 5 stars","+25"
"73",7,"DK Metcalf",PIT,"WR33","9","3 out of 5 stars","-1"
"74",7,"Jadarian Price",SEA,"RB27","11","4 out of 5 stars","-7"
"75",7,"Trevor Lawrence",JAC,"QB9","7","4 out of 5 stars","+5"
"76",7,"Courtland Sutton",DEN,"WR34","10","2 out of 5 stars","+1"
"77",7,"Kyle Pitts Sr.",ATL,"TE7","11","3 out of 5 stars","+11"
"78",7,"Chris Godwin Jr.",TB,"WR35","10","4 out of 5 stars","+7"
"79",7,"Brian Thomas Jr.",JAC,"WR36","7","4 out of 5 stars","-15"
"80",7,"Dak Prescott",DAL,"QB10","14","2 out of 5 stars","+2"
"81",7,"Chuba Hubbard",CAR,"RB28","5","1 out of 5 stars","-3"
"82",7,"Rhamondre Stevenson",NE,"RB29","11","2 out of 5 stars","-3"
"83",7,"Michael Pittman Jr.",PIT,"WR37","9","3 out of 5 stars","+3"
"84",7,"Tony Pollard",TEN,"RB30","9","3 out of 5 stars","-11"
"85",7,"Jordyn Tyson",NO,"WR38","8","3 out of 5 stars","-15"
"86",7,"Michael Wilson",ARI,"WR39","14","2 out of 5 stars","+6"
"87",7,"RJ Harvey",DEN,"RB31","10","2 out of 5 stars","-3"
"88",7,"Rico Dowdle",PIT,"RB32","9","2 out of 5 stars","+1"
"89",7,"Sam LaPorta",DET,"TE8","6","3 out of 5 stars","+4"
"90",7,"Wan'Dale Robinson",TEN,"WR40","9","3 out of 5 stars","+15"
"91",7,"Jaxson Dart",NYG,"QB11","8","4 out of 5 stars","+8"
"92",7,"Parker Washington",JAC,"WR41","7","4 out of 5 stars","-26"
"93",7,"Brock Purdy",SF,"QB12","8","1 out of 5 stars","+2"
"94",7,"Jakobi Meyers",JAC,"WR42","7","4 out of 5 stars","+13"
"95",7,"Makai Lemon",PHI,"WR43","10","4 out of 5 stars","-5"
"96",8,"Travis Kelce",KC,"TE9","5","4 out of 5 stars","+21"
"97",8,"Kyle Monangai",CHI,"RB33","10","2 out of 5 stars","+3"
"98",8,"Josh Downs",IND,"WR44","13","4 out of 5 stars","-4"
"99",8,"Kenny Gainwell",TB,"RB34","10","2 out of 5 stars","-12"
"100",8,"Patrick Mahomes II",KC,"QB13","5","2 out of 5 stars","+4"
"101",8,"Bo Nix",DEN,"QB14","10","3 out of 5 stars","+10"
"102",8,"Ricky Pearsall",SF,"WR45","8","2 out of 5 stars","-6"
"103",8,"Matthew Stafford",LAR,"QB15","11","3 out of 5 stars","-5"
"104",8,"Jake Ferguson",DAL,"TE10","14","2 out of 5 stars","+22"
"105",8,"J.K. Dobbins",DEN,"RB35","10","2 out of 5 stars","+3"
"106",8,"Jared Goff",DET,"QB16","6","5 out of 5 stars","+3"
"107",8,"Aaron Jones Sr.",MIN,"RB36","6","4 out of 5 stars","+16"
"108",8,"Jordan Addison",MIN,"WR46","6","5 out of 5 stars","-5"
"109",8,"Quentin Johnston",LAC,"WR47","7","2 out of 5 stars","-34"
"110",8,"Blake Corum",LAR,"RB37","11","5 out of 5 stars","-9"
"111",8,"Dalton Kincaid",BUF,"TE11","7","3 out of 5 stars","+4"
"112",8,"Jayden Reed",GB,"WR48","11","5 out of 5 stars","-21"
"113",8,"Rachaad White",WAS,"RB38","7","4 out of 5 stars","-7"
"114",8,"George Kittle",SF,"TE12","8","3 out of 5 stars","-2"
"115",8,"Kyler Murray",MIN,"QB17","6","5 out of 5 stars","+1"
"116",8,"Khalil Shakir",BUF,"WR49","7","4 out of 5 stars","+9"
"117",8,"Jordan Love",GB,"QB18","11","4 out of 5 stars","+4"
"118",8,"Isaiah Likely",NYG,"TE13","8","3 out of 5 stars","+6"
"119",8,"Baker Mayfield",TB,"QB19","10","2 out of 5 stars","-1"
"120",8,"Jayden Higgins",HOU,"WR50","8","3 out of 5 stars","+2"
"121",8,"Dallas Goedert",PHI,"TE14","10","4 out of 5 stars","+8"
"122",8,"Xavier Worthy",KC,"WR51","5","2 out of 5 stars","-12"
"123",8,"Tyler Shough",NO,"QB20","8","3 out of 5 stars","-3"
"124",8,"Jacory Croskey-Merritt",WAS,"RB39","7","4 out of 5 stars","+3"
"125",9,"KC Concepcion",CLE,"WR52","11","3 out of 5 stars","+3"
"126",9,"Romeo Doubs",NE,"WR53","11","2 out of 5 stars","-7"
"127",9,"Jordan Mason",MIN,"RB40","6","4 out of 5 stars","-13"
"128",9,"Malik Willis",MIA,"QB21","6","3 out of 5 stars","+5"
"129",9,"Tyrone Tracy Jr.",NYG,"RB41","8","4 out of 5 stars","+3"
"130",9,"Mark Andrews",BAL,"TE15","13","4 out of 5 stars","+1"
"131",9,"Jalen Coker",CAR,"WR54","5","2 out of 5 stars","-1"
"132",9,"Woody Marks",HOU,"RB42","8","4 out of 5 stars","+7"
"133",9,"C.J. Stroud",HOU,"QB22","8","4 out of 5 stars","+5"
"134",9,"Matthew Golden",GB,"WR55","11","5 out of 5 stars","-21"
"135",9,"Sam Darnold",SEA,"QB23","11","4 out of 5 stars","+8"
"136",9,"Jonathon Brooks",CAR,"RB43","5","1 out of 5 stars","-34"
"137",9,"Juwan Johnson",NO,"TE16","8","2 out of 5 stars","+11"
"138",9,"Zach Charbonnet",SEA,"RB44","11","4 out of 5 stars","+13"
"139",9,"Tyler Allgeier",ARI,"RB45","14","2 out of 5 stars","+6"
"140",9,"Tyjae Spears",TEN,"RB46","9","3 out of 5 stars","+12"
"141",9,"Chris Rodriguez Jr.",JAC,"RB47","7","4 out of 5 stars","-7"
"142",9,"Dylan Sampson",CLE,"RB48","11","3 out of 5 stars","+14"
"143",9,"Isiah Pacheco",DET,"RB49","6","5 out of 5 stars","+4"
"144",9,"Cam Ward",TEN,"QB24","9","3 out of 5 stars","-2"
"145",9,"Alvin Kamara",NO,"RB50","8","3 out of 5 stars","+21"
"146",9,"Rashid Shaheed",SEA,"WR56","11","3 out of 5 stars","-10"
"147",9,"Brenton Strange",JAC,"TE17","7","3 out of 5 stars","-1"
"148",9,"Omar Cooper Jr.",NYJ,"WR57","13","4 out of 5 stars","+12"
"149",9,"Jerry Jeudy",CLE,"WR58","11","3 out of 5 stars","+26"
"150",9,"Daniel Jones",IND,"QB25","13","4 out of 5 stars","-1"
"151",9,"Denzel Boston",CLE,"WR59","11","3 out of 5 stars","+3"
"152",9,"Bryce Young",CAR,"QB26","5","2 out of 5 stars","+6"
"153",9,"Jauan Jennings",MIN,"WR60","6","5 out of 5 stars","+2"
"154",9,"Hunter Henry",NE,"TE18","11","4 out of 5 stars","+5"
"155",9,"Oronde Gadsden II",LAC,"TE19","7","4 out of 5 stars","-11"
"156",9,"Jonah Coleman",DEN,"RB51","10","2 out of 5 stars","+1"
"157",9,"Chig Okonkwo",WAS,"TE20","7","1 out of 5 stars","-16"
"158",9,"Houston Texans",HOU,"DST1","8","2 out of 5 stars","+49"
"159",10,"Keaton Mitchell",LAC,"RB52","7","3 out of 5 stars","-22"
"160",10,"Jalen McMillan",TB,"WR61","10","4 out of 5 stars","-20"
"161",10,"Adonai Mitchell",NYJ,"WR62","13","4 out of 5 stars","+3"
"162",10,"Travis Hunter",JAC,"WR63","7","4 out of 5 stars","+10"
"163",10,"Brian Robinson Jr.",ATL,"RB53","11","2 out of 5 stars","+6"
"164",10,"Dalton Schultz",HOU,"TE21","8","4 out of 5 stars","+7"
"165",10,"Braelon Allen",NYJ,"RB54","13","3 out of 5 stars","+25"
"166",10,"Tank Bigsby",PHI,"RB55","10","4 out of 5 stars","-1"
"167",10,"Denver Broncos",DEN,"DST2","10","4 out of 5 stars","+52"
"168",10,"Tre Tucker",LV,"WR64","13","2 out of 5 stars","-15"
"169",10,"Tre' Harris",LAC,"WR65","7","2 out of 5 stars","-7"
"170",10,"Seattle Seahawks",SEA,"DST3","11","2 out of 5 stars","+48"
"171",10,"T.J. Hockenson",MIN,"TE22","6","4 out of 5 stars","-1"
"172",10,"Los Angeles Rams",LAR,"DST4","11","2 out of 5 stars","+42"
"173",10,"Kayshon Boutte",NE,"WR66","11","2 out of 5 stars","+37"
"174",10,"Troy Franklin",DEN,"WR67","10","2 out of 5 stars","+37"
"175",10,"Ryan Flournoy",DAL,"WR68","14","2 out of 5 stars","-14"
"176",10,"Philadelphia Eagles",PHI,"DST5","10","0 out of 5 stars","+47"
"177",10,"James Conner",ARI,"RB56","14","2 out of 5 stars","+44"
"178",10,"Stefon Diggs",FA,"WR69","-","-","-43"
"179",10,"Emanuel Wilson",SEA,"RB57","11","4 out of 5 stars","+33"
"180",10,"Jacoby Brissett",ARI,"QB27","14","2 out of 5 stars","-1"
"181",10,"Jaylin Noel",HOU,"WR70","8","3 out of 5 stars","+62"
"182",10,"Calvin Ridley",TEN,"WR71","9","3 out of 5 stars","+9"
"183",10,"Minnesota Vikings",MIN,"DST6","6","1 out of 5 stars","+48"
"184",10,"New England Patriots",NE,"DST7","11","3 out of 5 stars","+38"
"185",10,"Brandon Aubrey",DAL,"K1","14","2 out of 5 stars","-"
"186",10,"Kenyon Sadiq",NYJ,"TE23","13","4 out of 5 stars","-23"
"187",10,"Pittsburgh Steelers",PIT,"DST8","9","5 out of 5 stars","+43"
"188",10,"Jacksonville Jaguars",JAC,"DST9","7","3 out of 5 stars","+41"
"189",10,"Emmett Johnson",KC,"RB58","5","3 out of 5 stars","-9"
"190",10,"Deebo Samuel Sr.",FA,"WR72","-","-","-23"
"191",10,"Ka'imi Fairbairn",HOU,"K2","8","2 out of 5 stars","-"
"192",10,"Isaac TeSlaa",DET,"WR73","6","4 out of 5 stars","-24"
"193",10,"AJ Barner",SEA,"TE24","11","3 out of 5 stars","-10"
"194",10,"Cameron Dicker",LAC,"K3","7","2 out of 5 stars","-"
"195",11,"Los Angeles Chargers",LAC,"DST10","7","3 out of 5 stars","+37"
"196",11,"Mike Washington Jr.",LV,"RB59","13","2 out of 5 stars","-9"
"197",11,"Darnell Mooney",NYG,"WR74","8","4 out of 5 stars","+5"
"198",11,"Ray Davis",BUF,"RB60","7","2 out of 5 stars","-13"
"199",11,"Cam Little",JAC,"K4","7","4 out of 5 stars","-"
"200",11,"Kimani Vidal",LAC,"RB61","7","3 out of 5 stars","-8"
"201",11,"Jason Myers",SEA,"K5","11","4 out of 5 stars","-"
"202",11,"Pat Bryant",DEN,"WR75","10","2 out of 5 stars","+33"
"203",11,"Jalen Nailor",LV,"WR76","13","2 out of 5 stars","-53"
"204",11,"Malik Washington",MIA,"WR77","6","3 out of 5 stars","-30"
"205",11,"Dontayvion Wicks",PHI,"WR78","10","4 out of 5 stars","0"
"206",11,"Antonio Williams",WAS,"WR79","7","2 out of 5 stars","-30"
"207",11,"Baltimore Ravens",BAL,"DST11","13","5 out of 5 stars","+27"
"208",11,"Gunnar Helm",TEN,"TE25","9","3 out of 5 stars","-24"
"209",11,"Green Bay Packers",GB,"DST12","11","2 out of 5 stars","+39"
"210",11,"Eddy Pineiro",SF,"K6","8","5 out of 5 stars","-"
"211",11,"Tyler Loop",BAL,"K7","13","3 out of 5 stars","-"
"212",11,"Chimere Dike",TEN,"WR80","9","3 out of 5 stars","+86"
"213",11,"Sean Tucker",TB,"RB62","10","2 out of 5 stars","-27"
"214",11,"Brandon Aiyuk",SF,"WR81","8","2 out of 5 stars","-17"
"215",11,"Cairo Santos",CHI,"K8","10","0 out of 5 stars","-"
"216",11,"Kansas City Chiefs",KC,"DST13","5","3 out of 5 stars","+36"
"217",11,"Evan McPherson",CIN,"K9","6","2 out of 5 stars","-"
"218",11,"Andy Borregales",NE,"K10","11","1 out of 5 stars","-"
"219",11,"Geno Smith",NYJ,"QB28","13","4 out of 5 stars","-37"
"220",11,"Nicholas Singleton",TEN,"RB63","9","3 out of 5 stars","-22"
"221",11,"Cooper Kupp",SEA,"WR82","11","3 out of 5 stars","-5"
"222",11,"Detroit Lions",DET,"DST14","6","5 out of 5 stars","+32"
"223",11,"Cleveland Browns",CLE,"DST15","11","5 out of 5 stars","+18"
"224",11,"Aaron Rodgers",PIT,"QB29","9","2 out of 5 stars","-51"
"225",11,"De'Zhaun Stribling",SF,"WR83","8","2 out of 5 stars","-21"
"226",11,"Jaylen Wright",MIA,"RB64","6","3 out of 5 stars","+11"
"227",11,"Tank Dell",HOU,"WR84","8","3 out of 5 stars","-27"
"228",11,"Germie Bernard",PIT,"WR85","9","3 out of 5 stars","-15"
"229",11,"Buffalo Bills",BUF,"DST16","7","3 out of 5 stars","+17"
"230",11,"Jake Bates",DET,"K11","6","5 out of 5 stars","-"
"231",11,"Rashod Bateman",BAL,"WR86","13","4 out of 5 stars","+19"
"232",11,"Chase McLaughlin",TB,"K12","10","3 out of 5 stars","-"
"233",11,"Cade Otton",TB,"TE26","10","2 out of 5 stars","-39"
"234",11,"Kaytron Allen",WAS,"RB65","7","4 out of 5 stars","-53"
"235",11,"David Njoku",LAC,"TE27","7","4 out of 5 stars","-27"
"236",11,"Justice Hill",BAL,"RB66","13","3 out of 5 stars","-21"
"237",11,"Pat Freiermuth",PIT,"TE28","9","2 out of 5 stars","-42"
"238",11,"Elic Ayomanor",TEN,"WR87","9","3 out of 5 stars","+101"
"239",11,"Terrance Ferguson",LAR,"TE29","11","4 out of 5 stars","-36"
"240",11,"Fernando Mendoza",LV,"QB30","13","1 out of 5 stars","-62"
"241",11,"Ted Hurst III",TB,"WR88","10","4 out of 5 stars","+1"
"242",11,"Jack Bech",LV,"WR89","13","2 out of 5 stars","+52"
"243",11,"Zachariah Branch",ATL,"WR90","11","3 out of 5 stars","-55"
"244",11,"Ollie Gordon II",MIA,"RB67","6","3 out of 5 stars","+56"
"245",11,"Colby Parkinson",LAR,"TE30","11","4 out of 5 stars","-28"
"246",12,"Harrison Mevis",LAR,"K13","11","2 out of 5 stars","-"
"247",12,"Harrison Butker",KC,"K14","5","5 out of 5 stars","-"
"248",12,"Keon Coleman",BUF,"WR91","7","4 out of 5 stars","-10"
"249",12,"Evan Engram",DEN,"TE31","10","4 out of 5 stars","0"
"250",12,"Chris Bell",MIA,"WR92","6","3 out of 5 stars","+3"
"251",12,"Tyreek Hill",FA,"WR93","-","-","-26"
"252",12,"Ty Johnson",BUF,"RB68","7","2 out of 5 stars","+9"
"253",12,"Elijah Sarratt",BAL,"WR94","13","4 out of 5 stars","-9"
"254",12,"Chris Boswell",PIT,"K15","9","4 out of 5 stars","-"
"255",12,"Christian Kirk",SF,"WR95","8","2 out of 5 stars","-46"
"256",12,"Theo Johnson",NYG,"TE32","8","3 out of 5 stars","+46"
"257",12,"MarShawn Lloyd",GB,"RB69","11","4 out of 5 stars","-61"
"258",12,"Malachi Fields",NYG,"WR96","8","4 out of 5 stars","-22"
"259",12,"Tory Horton",SEA,"WR97","11","3 out of 5 stars","+48"
"260",12,"Mason Taylor",NYJ,"TE33","13","4 out of 5 stars","-2"
"261",12,"Eli Stowers",PHI,"TE34","10","4 out of 5 stars","-14"
"262",12,"Jaydon Blue",DAL,"RB70","14","4 out of 5 stars","-73"
"263",12,"Isaiah Davis",NYJ,"RB71","13","3 out of 5 stars","+132"
"264",12,"DJ Giddens",IND,"RB72","13","4 out of 5 stars","+22"
"265",12,"Chris Brooks",GB,"RB73","11","4 out of 5 stars","+12"
"266",12,"Marvin Mims Jr.",DEN,"WR98","10","2 out of 5 stars","+67"
"267",12,"Michael Penix Jr.",ATL,"QB31","11","4 out of 5 stars","-43"
"268",12,"Devin Neal",NO,"RB74","8","3 out of 5 stars","+139"
"269",12,"Samaje Perine",CIN,"RB75","6","2 out of 5 stars","-24"
"270",12,"Tua Tagovailoa",ATL,"QB32","11","4 out of 5 stars","-77"
"271",12,"Chris Brazzell II",CAR,"WR99","5","2 out of 5 stars","+33"
"272",12,"Darius Slayton",NYG,"WR100","8","4 out of 5 stars","+8"
"273",12,"Xavier Legette",CAR,"WR101","5","2 out of 5 stars","+37"
"274",12,"Jordan James",SF,"RB76","8","2 out of 5 stars","-75"
"275",12,"Demond Claiborne",MIN,"RB77","6","4 out of 5 stars","-74"
"276",12,"Malik Davis",DAL,"RB78","14","4 out of 5 stars","-11"
"277",12,"Kaleb Johnson",PIT,"RB79","9","2 out of 5 stars","+120"
"278",12,"Greg Dulcich",MIA,"TE35","6","5 out of 5 stars","-101"
"279",12,"Tyquan Thornton",KC,"WR102","5","2 out of 5 stars","-23"
"280",12,"Seth McGowan",IND,"RB80","13","4 out of 5 stars","+111"
"281",12,"George Holani",SEA,"RB81","11","4 out of 5 stars","-75"
"282",12,"Devaughn Vele",NO,"WR103","8","3 out of 5 stars","-14"
"283",12,"LeQuint Allen Jr.",JAC,"RB82","7","4 out of 5 stars","+7"
"284",12,"Wil Lutz",DEN,"K16","10","1 out of 5 stars","-"
"285",12,"Atlanta Falcons",ATL,"DST17","11","4 out of 5 stars","-34"
"286",12,"Mack Hollins",NE,"WR104","11","2 out of 5 stars","+119"
"287",12,"Trey Benson",ARI,"RB83","14","2 out of 5 stars","+56"
"288",12,"Kyle Williams",NE,"WR105","11","2 out of 5 stars","+120"
"289",12,"Will Reichard",MIN,"K17","6","2 out of 5 stars","-"
"290",12,"Brashard Smith",KC,"RB84","5","3 out of 5 stars","+120"
"291",12,"Keenan Allen",LAC,"WR106","7","2 out of 5 stars","-25"
"292",12,"Mike Gesicki",CIN,"TE36","6","3 out of 5 stars","-53"
"293",12,"San Francisco 49ers",SF,"DST18","8","3 out of 5 stars","-31"
"294",12,"Shedeur Sanders",CLE,"QB33","11","4 out of 5 stars","-67"
"295",12,"Hollywood Brown",PHI,"WR107","10","4 out of 5 stars","+50"
"296",12,"Oscar Delp",NO,"TE37","8","2 out of 5 stars","+107"
"297",12,"Devin Singletary",NYG,"RB85","8","4 out of 5 stars","+112"
"298",12,"Kirk Cousins",LV,"QB34","13","1 out of 5 stars","-65"
"299",12,"Deshaun Watson",CLE,"QB35","11","4 out of 5 stars","-73"
"300",12,"Kendre Miller",NO,"RB86","8","3 out of 5 stars","+54"
"301",13,"Jerome Ford",WAS,"RB87","7","4 out of 5 stars","+83"
"302",13,"Emari Demercado",KC,"RB88","5","3 out of 5 stars","-32"
"303",13,"Jaleel McLaughlin",DEN,"RB89","10","2 out of 5 stars","-"
"304",13,"Charlie Smyth",NO,"K18","8","5 out of 5 stars","-"
"305",13,"Kaelon Black",SF,"RB90","8","2 out of 5 stars","-85"
"306",13,"Najee Harris",LAC,"RB91","7","3 out of 5 stars","+31"
"307",13,"Isaiah Bond",CLE,"WR108","11","3 out of 5 stars","+94"
"308",13,"Jake Tonges",SF,"TE38","8","3 out of 5 stars","-80"
"309",13,"Indianapolis Colts",IND,"DST19","13","5 out of 5 stars","-42"
"310",13,"Adam Randall",BAL,"RB92","13","3 out of 5 stars","-26"
"311",13,"Trevor Etienne",CAR,"RB93","5","1 out of 5 stars","+36"
"312",13,"Skyler Bell",BUF,"WR109","7","4 out of 5 stars","+8"
"313",13,"Ja'Kobi Lane",BAL,"WR110","13","4 out of 5 stars","+18"
"314",13,"Tahj Brooks",CIN,"RB94","6","2 out of 5 stars","+80"
"315",13,"Isaac Guerendo",SF,"RB95","8","2 out of 5 stars","+19"
"316",13,"Andrei Iosivas",CIN,"WR111","6","4 out of 5 stars","-20"
"317",13,"Joe Mixon",FA,"RB96","-","-","+9"
"318",13,"Jarquez Hunter",LAR,"RB97","11","5 out of 5 stars","+14"
"319",13,"New Orleans Saints",NO,"DST20","8","5 out of 5 stars","-62"
"320",13,"Chicago Bears",CHI,"DST21","10","2 out of 5 stars","-80"
"321",13,"Audric Estime",NO,"RB98","8","3 out of 5 stars","+55"
"322",13,"Cedric Tillman",CLE,"WR112","11","3 out of 5 stars","-29"
"323",13,"Darnell Washington",PIT,"TE39","9","2 out of 5 stars","-41"
"324",13,"J.J. McCarthy",MIN,"QB36","6","5 out of 5 stars","-65"
"325",13,"Will Shipley",PHI,"RB99","10","4 out of 5 stars","+24"
"326",13,"Luke McCaffrey",WAS,"WR113","7","2 out of 5 stars","-53"
"327",13,"Konata Mumpfield",LAR,"WR114","11","1 out of 5 stars","-46"
"328",13,"Kareem Hunt",FA,"RB100","-","-","+54"
"329",13,"Tez Johnson",TB,"WR115","10","4 out of 5 stars","+70"
"330",13,"Max Klare",LAR,"TE40","11","4 out of 5 stars","+37"
"331",13,"Jalen Royals",KC,"WR116","5","2 out of 5 stars","+7"
"332",13,"Jahan Dotson",ATL,"WR117","11","3 out of 5 stars","-23"
"333",13,"Calvin Austin III",NYG,"WR118","8","4 out of 5 stars","+56"
"334",13,"Olamide Zaccheaus",ATL,"WR119","11","3 out of 5 stars","+1"
"335",13,"Caleb Douglas",MIA,"WR120","6","3 out of 5 stars","-23"
"336",13,"Joshua Palmer",BUF,"WR121","7","4 out of 5 stars","+33"
"337",13,"Mac Jones",SF,"QB37","8","1 out of 5 stars","-23"
"338",13,"Elijah Arroyo",SEA,"TE41","11","3 out of 5 stars","-20"
"339",13,"Jalen Tolbert",MIA,"WR122","6","3 out of 5 stars","-51"
"340",14,"Bam Knight",ARI,"RB101","14","2 out of 5 stars","-"
"341",14,"Tyler Higbee",LAR,"TE42","11","4 out of 5 stars","+55"
"342",14,"Noah Gray",KC,"TE43","5","4 out of 5 stars","+60"
"343",14,"Michael Mayer",LV,"TE44","13","3 out of 5 stars","-69"
"344",14,"Ja'Tavion Sanders",CAR,"TE45","5","2 out of 5 stars","-20"
"345",14,"Ty Simpson",LAR,"QB38","11","3 out of 5 stars","+53"
"346",14,"DeMario Douglas",NE,"WR123","11","2 out of 5 stars","+35"
"347",14,"Dont'e Thornton Jr.",LV,"WR124","13","2 out of 5 stars","-"
"348",14,"Cole Kmet",CHI,"TE46","10","2 out of 5 stars","-72"
"349",14,"Carolina Panthers",CAR,"DST22","5","3 out of 5 stars","-77"
"350",14,"Xavier Hutchinson",HOU,"WR125","8","3 out of 5 stars","+7"
"351",14,"Carson Beck",ARI,"QB39","14","2 out of 5 stars","-26"
"352",14,"Dawson Knox",BUF,"TE47","7","3 out of 5 stars","-30"
